Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment
1,131.8,1056,4.48,797.77,100,500,1.318,""
2,148.93,960,3.18,895.88,100,500,1.4893,""
3,165.11,864,3.58,996.63,100,500,1.6511,""
4,188.87,768,3.8,1133.74,100,500,1.8887,""
5,212.13,672,4.07,1274.81,100,500,2.1213,""
6,252.1,576,5.04,1519.45,100,500,2.521,""
7,304.32,480,5.97,1829.72,100,500,3.0432,""
8,387.78,384,7.35,2333.35,100,500,3.8778,""
9,510.33,288,9.34,3070.89,100,500,5.1033,""
10,779.17,192,14.77,4670.97,100,500,7.7917,""
11,1554.99,96,30.39,9339.46,100,500,15.5499,""
