Number,simpleFoam,procNum,potentialFoam,combineP+S,NumberIter,IterFrom,sec/iter,Comment
1,0.0,1800,4.13,3.13,100,-99,0.0,""
2,479.07,360,9.76,2888.23,100,500,4.7907,""
3,310.88,540,6.67,1875.06,100,500,3.1088,""
4,230.69,720,5.11,1392.11,100,500,2.3069,""
5,109.28,1800,2.95,666.11,100,500,1.0928,""
